COVID-19 Deaths;Total Deaths;Pneumonia Deaths;Pneumonia and COVID-19 Deaths;Influenza Deaths;Pneumonia Influenza or COVID-19 Deaths
30;555;22;10;;44
43;771;36;13;0;66
58;975;40;15;0;83
89;1207;56;24;;124
144;1817;106;50;;208
557;5760;470;226;12;813
466;4605;397;191;;679
854;7670;691;313;12;1243
1433;12315;1049;471;29;2038
2842;23977;1726;716;30;3881
3208;33108;2984;1602;41;4627
;209;;0;0;
;378;14;;;21
;49;;0;0;
;62;;;;
;323;;;0;
;555;;;;15
22;700;27;12;;39
41;895;43;23;;63
52;1033;55;31;;78
85;1195;70;44;;113
163;1731;136;91;;210
517;5326;521;298;;744
408;4242;422;232;;602
708;7023;771;414;11;1075
919;8525;876;474;;1327
923;9211;681;345;12;1269
1689;17373;1570;886;18;2387
;109;;0;0;
;207;;;;13
;26;;0;0;
;30;;;;
;233;;0;0;
;399;;0;;
13;503;11;;;20
27;610;24;14;0;37
32;657;31;18;0;45
47;754;38;23;;63
94;1108;78;54;;119
300;3265;291;174;;418
236;2569;235;133;;339
402;3958;410;232;;584
523;4435;493;277;;743
380;3745;305;165;;522
1519;15735;1414;716;23;2240
0;100;;0;0;
0;171;;0;;
0;23;;0;0;
0;32;;0;;
;90;;;0;
;156;;;0;
;197;16;;0;19
14;285;19;;;26
20;376;24;13;;33
38;441;32;21;;50
69;623;58;37;;91
217;2061;230;124;;326
172;1673;187;99;;263
306;3065;361;182;;491
396;4090;383;197;;584
543;5466;376;180;;747
2133;20918;2723;1631;20;3244
;350;;0;;
13;617;19;;;30
;90;10;;;12
;111;;;;
;377;;;0;11
15;635;21;11;0;25
32;766;39;25;0;46
63;924;72;48;;88
78;1063;92;58;;115
108;1216;130;78;;164
194;1644;229;151;;274
553;4894;664;425;;793
431;3885;521;326;;627
570;4770;726;445;;856
437;3948;580;328;;690
374;3914;511;291;;598
1195;11533;1494;913;10;1786
;192;;0;0;
;349;;;0;16
;49;;;0;
;55;;0;0;
;300;;;0;
;490;12;;0;15
17;578;24;14;0;27
37;658;49;29;;58
50;700;59;38;;73
72;779;80;53;;102
126;1034;143;99;;172
339;2970;405;259;;486
261;2338;315;195;;382
331;2757;408;262;;480
244;2055;321;185;0;380
154;1475;210;117;;249
938;9385;1229;718;10;1458
;158;0;0;;
;268;10;;;14
;41;;;;
;56;;;;
;77;;;0;
;145;;;0;10
15;188;15;11;0;19
26;266;23;19;0;30
28;363;33;20;;42
36;437;50;25;;62
68;610;86;52;0;102
214;1924;259;166;;307
170;1547;206;131;;245
239;2013;318;183;;376
193;1893;259;143;;310
220;2439;301;174;;349
77246;741248;85203;47917;900;115337
26;3798;59;;;81
100;6615;157;37;20;238
12;806;40;;;54
33;1070;33;;;61
223;6703;221;121;10;333
523;12459;546;305;12;774
892;15686;925;555;17;1276
1430;19803;1418;903;31;1975
2213;23527;2084;1406;33;2924
3348;28715;3131;2203;46;4322
5009;39990;4809;3331;71;6554
13874;116992;14561;9129;163;19454
10867;93004;11642;7142;124;15480
17049;146371;19342;11145;195;25418
20799;189364;23896;13044;226;31859
20123;220929;22152;11151;207;31297
43510;398390;48344;27723;468;64552
11;2097;26;;;35
40;3816;77;15;;111
;450;21;;;27
14;621;20;;;30
125;4834;124;67;;187
338;8988;333;198;;480
552;10962;563;342;10;781
832;13270;827;526;14;1146
1339;15223;1219;855;15;1718
2063;18108;1864;1372;24;2579
3140;25100;2914;2076;42;4017
8550;72380;8731;5581;89;11782
6638;57275;6945;4340;64;9303
10139;86336;11560;6715;107;15079
11999;102927;13908;7662;123;18357
9549;92565;11044;5654;94;15018
33736;342858;36859;20194;432;50785
15;1701;33;;;46
60;2799;80;22;11;127
;356;19;;;27
19;449;13;;;31
98;1869;97;54;;146
185;3471;213;107;;294
340;4724;362;213;;495
598;6533;591;377;17;829
874;8304;865;551;18;1206
1285;10607;1267;831;22;1743
1869;14890;1895;1255;29;2537
5324;44612;5830;3548;74;7672
4229;35729;4697;2802;60;6177
6910;60035;7782;4430;88;10339
8800;86437;9988;5382;103;13502
10574;128364;11108;5497;113;16279
34746;311979;30459;18053;417;47528
17;2214;25;;;42
52;4009;70;11;10;120
;449;12;0;;22
17;680;25;;;39
134;4064;115;56;;199
286;6829;237;116;11;416
495;7828;369;221;;649
796;9658;592;378;15;1022
1203;11890;906;590;19;1537
1778;15340;1369;919;18;2246
2768;21668;2178;1473;27;3498
7551;60018;6422;4072;95;9986
5823;47061;5060;3148;77;7804
8702;69085;7778;4779;106;11798
9029;76422;8282;4816;99;12583
6552;70618;5709;2962;63;9357
18744;162483;16638;9940;199;25620
13;1216;15;;;27
34;2351;38;;;68
;243;;0;;
11;417;16;;;23
76;3010;69;35;;114
156;4937;133;62;;234
265;5328;194;110;;353
430;6288;314;200;;550
675;7421;499;333;11;851
1031;9361;781;535;;1286
1645;13061;1266;869;14;2056
