COVID-19 Deaths;Total Deaths;Pneumonia Deaths;Pneumonia and COVID-19 Deaths;Influenza Deaths;Pneumonia Influenza or COVID-19 Deaths
;195;;;0;10
;226;10;;0;15
13;291;14;;0;20
21;365;19;;0;33
35;527;32;12;0;55
125;1615;140;65;;201
103;1287;118;55;;167
201;1963;185;88;0;298
280;2513;260;134;;406
446;3309;338;186;;599
573;5239;541;283;;833
0;38;;0;0;
0;57;;0;0;
0;;;0;0;
0;;0;0;0;0
;74;;0;0;
;131;;0;0;
;138;;;0;
;155;;;0;
;194;;;0;12
15;243;;;0;21
25;335;15;;0;34
84;1017;90;41;;134
69;812;79;36;;113
122;1101;119;63;0;178
156;1293;152;82;;226
188;1242;161;91;;259
511;5036;417;201;0;727
0;25;;0;0;
0;45;;0;0;
0;;0;0;0;0
0;;0;0;0;0
0;28;0;0;0;0
;51;;;0;
;57;;;0;
;71;;0;0;
;97;;;0;
;122;10;;0;12
10;192;17;;0;21
41;598;50;24;0;67
34;475;39;19;0;54
79;862;66;25;0;120
124;1220;108;52;0;180
258;2067;177;95;0;340
3344;12842;2039;1597;0;3786
0;58;0;0;0;0
0;92;;0;0;
0;;;0;0;
0;15;0;0;0;0
;109;;;0;
;192;;;0;11
17;215;10;;0;20
28;266;16;10;0;34
37;319;22;12;0;47
69;430;38;27;0;80
111;637;65;48;0;128
385;1858;250;199;0;436
322;1478;212;172;0;362
691;2518;442;363;0;770
946;3180;638;496;0;1088
1217;4306;645;497;0;1365
1823;6697;1162;925;0;2060
0;32;0;0;0;0
0;51;0;0;0;0
0;;0;0;0;0
0;;0;0;0;0
;80;;;0;
;147;;;0;
;161;;;0;11
18;185;;;0;21
29;213;15;;0;36
52;279;26;20;0;58
73;403;36;30;0;79
243;1150;157;129;0;271
205;912;137;114;0;228
430;1464;284;233;0;481
539;1676;365;284;0;620
536;1745;318;252;0;602
1521;6145;877;672;0;1726
0;26;0;0;0;0
0;41;;0;0;
0;;;0;0;
0;;0;0;0;0
;29;;;0;
;45;;;0;
;54;;;0;
10;81;;;0;13
;106;;;0;11
17;151;12;;0;22
38;234;29;18;0;49
142;708;93;70;0;165
117;566;75;58;0;134
261;1054;158;130;0;289
407;1504;273;212;0;468
681;2561;327;245;0;763
4182;14076;2521;2003;;4702
0;45;0;0;0;0
;85;;0;0;
0;11;;0;0;
;14;;0;0;
;94;;;0;
12;180;;;0;13
20;217;11;11;0;20
27;255;17;14;0;30
47;300;25;19;0;53
89;458;48;38;0;99
149;710;91;73;0;167
494;2163;325;249;0;570
402;1750;267;202;0;467
826;2665;560;457;;930
1142;3540;738;601;;1280
1591;4730;824;638;0;1777
2193;7295;1411;1146;;2460
0;30;0;0;0;0
;52;;0;0;
0;;0;0;0;0
;;;0;0;
;71;;;0;
;135;;;0;10
14;154;;;0;14
19;175;13;11;0;21
30;192;19;15;0;34
56;300;31;25;0;62
94;471;59;46;0;107
310;1357;200;154;0;356
253;1089;162;125;0;290
496;1560;337;276;;558
628;1837;427;361;;695
674;1879;397;315;0;756
1989;6781;1110;857;0;2242
0;15;0;0;0;0
0;33;;0;0;
0;;;0;0;
0;;0;0;0;0
;23;0;0;0;
;45;;;0;
;63;;;0;
;80;;;0;
17;108;;;0;19
33;158;17;13;0;37
55;239;32;27;0;60
184;806;125;95;0;214
149;661;105;77;0;177
330;1105;223;181;0;372
514;1703;311;240;0;585
917;2851;427;323;0;1021
2407;11942;1833;1313;;2928
0;67;;0;0;
;107;;0;0;
0;;0;0;0;0
0;20;;0;0;
;92;;;0;
11;181;;;0;13
15;192;;;0;17
15;235;12;;0;20
30;303;21;11;0;40
59;398;40;29;0;70
97;573;78;61;0;114
291;1809;240;170;0;361
232;1477;189;132;0;289
539;2373;434;321;0;652
673;2897;527;397;;804
818;3942;572;385;0;1005
1323;6226;1061;784;0;1600
0;37;;0;0;
;59;;0;0;
0;;0;0;0;0
0;;;0;0;
;76;;;0;
;139;;;0;
;133;;;0;
;170;;;0;
18;202;15;;0;25
39;239;27;21;0;45
62;364;46;39;0;69
197;1186;163;115;0;245
160;969;134;92;0;202
350;1421;269;206;0;413
389;1519;320;254;0;455
335;1493;271;183;0;423
1084;5716;772;529;;1328
0;30;0;0;0;0
0;48;0;0;0;0
0;;0;0;0;0
0;11;0;0;0;0
;16;;;0;
;42;;;0;
;59;;;0;
10;65;;;0;12
12;101;;;0;15
20;159;13;;0;25
35;209;32;22;0;45
94;623;77;55;0;116
72;508;55;40;0;87
189;952;165;115;0;239
284;1378;207;143;;349
483;2449;301;202;0;582
1075;9767;1020;598;;1498
0;51;0;0;0;0
;85;0;0;0;
0;11;0;0;0;0
0;13;0;0;0;0
;68;;;0;
;148;;;0;
;190;;;0;11
15;222;10;;0;20
22;262;16;10;0;28
33;344;24;15;0;42
61;539;49;32;0;78
148;1519;136;86;0;198
107;1184;101;62;0;146
267;2123;260;159;;369
291;2322;318;189;0;420
316;3004;268;143;0;441
636;5016;593;363;;867
0;27;0;0;0;0
;42;0;0;0;
0;;0;0;0;0
0;;0;0;0;0
;50;;;0;
;114;;;0;
;149;;;0;
10;155;;;0;14
13;167;;;0;15
24;208;14;11;0;27
45;343;35;24;0;56
97;945;90;59;0;128
68;720;64;41;0;91
179;1213;163;101;;242
170;1169;182;109;0;243
153;1170;134;79;0;208
439;4751;427;235;0;631
0;24;0;0;0;0
0;43;0;0;0;0
0;;0;0;0;0
0;;0;0;0;0
;18;;0;0;
;34;;0;0;
;41;0;0;0;
;67;;;0;
;95;;;0;13
;136;10;;0;15
16;196;14;;0;22
51;574;46;27;0;70
39;464;37;21;0;55
88;910;97;58;0;127
121;1153;136;80;0;177
163;1834;134;64;0;233
554;9441;729;319;;964
0;62;0;0;0;0
;97;;0;0;
0;;0;0;0;0
;17;;0;0;
;109;;;0;
;199;;;0;
;206;;;0;
10;229;12;;0;15
15;272;16;;0;23
27;387;26;12;0;41
37;567;37;17;0;57
101;1571;114;56;;159
82;1242;95;47;;130
127;1895;161;78;0;210
151;2297;208;90;0;269
133;2766;203;74;0;262
326;4816;413;195;;544
0;32;0;0;0;0
;56;0;0;0;
0;;0;0;0;0
;12;0;0;0;
0;81;;0;0;
;142;;;0;
;133;;;0;
;142;;;0;10
;172;12;;0;15
15;247;18;;0;24
22;359;24;11;0;35
69;983;67;40;;96
57;776;55;35;;77
77;1047;94;47;0;124
91;1168;125;54;0;162
65;1031;98;39;0;124
228;4625;316;124;0;420
0;30;0;0;0;0
0;41;;0;0;
0;;0;0;0;0
0;;;0;0;
;28;;;0;
;57;;;0;
;73;;;0;
;87;;;0;
;100;;;0;
12;140;;;0;17
15;208;13;;0;22
32;588;47;16;0;63
25;466;40;12;0;53
50;848;67;31;0;86
60;1129;83;36;0;107
68;1735;105;35;0;138
738;9382;852;464;0;1126
;64;;0;0;
;103;;;0;
0;;0;0;0;0
0;15;0;0;0;0
;110;;;0;
;182;;;0;
15;210;10;;0;16
22;277;15;14;0;23
26;315;22;16;0;32
34;369;28;18;0;44
68;588;59;42;0;85
195;1655;181;122;0;254
146;1278;138;91;0;193
171;1937;200;107;0;264
173;2199;212;107;0;278
135;2660;208;90;0;253
414;4953;468;260;0;622
0;33;;0;0;
;58;;;0;
0;;0;0;0;0
0;;0;0;0;0
;87;;;0;
;137;;;0;
10;143;;;0;11
13;188;;;0;14
12;210;12;;0;17
21;252;19;12;0;28
47;396;42;31;0;58
117;1018;111;71;0;157
84;772;81;49;0;116
100;1147;114;64;0;150
91;1127;111;57;0;145
68;1026;99;45;0;122
324;4429;384;204;0;504
;31;0;0;0;
;45;0;0;0;
0;;0;0;0;0
0;;0;0;0;0
;23;;;0;
;45;;;0;
;67;;;0;
;89;;;0;
14;105;10;;0;15
13;117;;;0;16
21;192;17;11;0;27
78;637;70;51;0;97
62;506;57;42;0;77
71;790;86;43;0;114
82;1072;101;50;0;133
67;1634;109;45;0;131
766;9493;836;459;0;1143
0;79;0;0;0;0
;141;0;0;0;
0;;0;0;0;0
0;24;0;0;0;0
;136;;;0;
;216;;;0;12
14;233;12;;0;17
20;259;19;13;0;26
22;304;23;13;0;32
42;402;36;26;0;52
69;573;65;44;0;90
198;1658;176;116;0;258
160;1320;135;92;0;203
186;1876;203;118;0;271
171;2216;211;110;0;272
139;2725;182;71;0;250
427;4973;460;257;0;630
0;49;0;0;0;0
;91;0;0;0;
0;;0;0;0;0
0;14;0;0;0;0
;104;;;0;
;163;;;0;
;173;10;;0;10
12;179;12;10;0;14
12;196;14;;0;19
25;273;22;15;0;32
39;374;36;27;0;48
113;1006;100;67;0;146
93;799;78;52;0;119
103;1066;117;65;0;155
95;1148;114;59;0;150
73;1047;88;37;0;124
339;4520;376;202;0;513
0;30;0;0;0;0
;50;0;0;0;
0;;0;0;0;0
0;10;0;0;0;0
;32;;;0;
;53;;;0;
;60;;0;0;
;80;;;0;12
10;108;;;0;13
17;129;14;11;0;20
30;199;29;17;0;42
85;652;76;49;0;112
67;521;57;40;0;84
83;810;86;53;0;116
76;1068;97;51;0;122
66;1678;94;34;0;126
341;8908;581;221;0;701
0;58;0;0;0;0
;102;;0;0;
0;10;;0;0;
;15;0;0;0;
;136;;;0;
;241;;;0;
;250;;;0;
;264;;;0;16
13;311;15;;0;22
29;393;22;18;0;33
39;577;33;25;0;47
114;1576;138;77;0;175
95;1219;118;65;0;148
76;1826;132;54;0;154
65;2074;147;47;0;165
45;2432;127;22;0;150
178;4696;277;113;0;342
0;40;0;0;0;0
0;65;;0;0;
0;;;0;0;
0;;0;0;0;0
0;100;;0;0;
;184;;;0;
;191;;;0;
;199;;;0;11
;214;;;0;13
16;264;12;11;0;17
22;389;21;15;0;28
67;996;77;46;0;98
57;762;64;39;0;82
39;1043;68;24;0;83
28;1024;66;20;0;74
21;921;43;10;0;54
163;4212;304;108;0;359
0;18;0;0;0;0
;37;0;0;0;
0;;0;0;0;0
;;0;0;0;
;36;;;0;
;57;;;0;
;59;;0;0;
;65;;0;0;
;97;;;0;
13;129;10;;0;16
17;188;12;10;0;19
47;580;61;31;0;77
38;457;54;26;0;66
37;783;64;30;0;71
37;1050;81;27;0;91
24;1511;84;12;0;96
234;9230;522;117;0;639
0;60;;0;0;
0;112;;0;0;
0;;0;0;0;0
0;17;;0;0;
;149;0;0;0;
;236;0;0;0;
;238;;;0;
;292;10;;0;14
;341;16;;0;21
15;396;25;;0;32
21;560;35;12;0;44
55;1573;88;30;0;113
46;1235;69;25;0;90
51;1859;110;28;0;133
55;2108;143;29;0;169
46;2654;141;17;0;170
115;4755;289;60;0;344
0;35;;0;0;
0;71;;0;0;
0;;0;0;0;0
0;;0;0;0;0
;117;0;0;0;
;179;0;0;0;
;176;;;0;
;204;;;0;
;227;;;0;11
;260;11;;0;16
12;355;19;;0;25
30;929;51;15;0;66
25;719;38;13;0;50
25;1037;62;16;0;71
28;1054;83;14;0;97
17;1021;72;;0;81
119;4475;233;57;0;295
0;25;0;0;0;0
0;41;;0;0;
0;;0;0;0;0
0;;;0;0;
;32;0;0;0;
;57;0;0;0;
;62;;;0;
;88;;;0;
;114;;;0;10
;136;14;;0;16
;205;16;;0;19
25;644;37;15;0;47
21;516;31;12;0;40
26;822;48;12;0;62
27;1054;60;15;0;72
29;1633;69;;0;89
740;9844;914;467;0;1187
0;52;;0;0;
;107;;;0;
0;;0;0;0;0
;23;;;0;
;133;;;0;
12;243;;;0;13
16;269;;;0;17
23;289;17;13;0;27
32;313;28;23;0;37
45;400;37;24;0;58
59;609;60;32;0;87
154;1688;167;103;0;218
122;1319;128;81;0;169
182;2061;232;128;0;286
175;2265;230;111;0;294
145;2791;219;79;0;285
422;5241;525;276;0;671
0;28;0;0;0;0
;64;;;0;
0;;0;0;0;0
;15;;;0;
;98;;;0;
10;181;;;0;10
12;200;;;0;12
15;206;13;10;0;18
23;220;22;17;0;28
31;265;24;16;0;39
38;387;34;20;0;52
103;1042;107;70;0;140
82;806;85;56;0;111
93;1206;137;68;0;162
98;1162;131;64;0;165
69;1115;106;41;0;134
318;4603;389;191;0;516
0;24;;0;0;
;43;;;0;
0;;0;0;0;0
0;;;0;0;
;35;;;0;
;62;;;0;
;69;;;0;
;83;;;0;
;93;;;0;
14;135;13;;0;19
21;222;26;12;0;35
51;646;60;33;0;78
40;513;43;25;0;58
89;855;95;60;0;124
77;1103;99;47;0;129
76;1676;113;38;0;151
1143;10063;1142;731;0;1554
0;54;;0;0;
;103;;;0;
;15;0;0;0;
;13;;;0;
;130;;;0;
13;223;13;;0;17
25;237;16;14;0;27
39;293;25;23;0;41
61;359;39;35;0;65
91;436;61;55;0;97
120;628;89;79;0;130
263;1790;247;178;0;332
197;1409;197;135;0;259
266;2023;259;168;0;357
265;2336;287;180;0;372
202;2859;245;116;0;331
651;5325;644;416;0;879
0;25;;0;0;
;55;;0;0;
0;;0;0;0;0
;11;;0;0;
;101;;;0;
;178;;;0;10
14;171;;;0;14
19;196;14;13;0;20
38;244;24;21;0;41
59;275;34;32;0;61
72;399;50;45;0;77
167;1141;150;107;0;210
128;889;121;83;0;166
145;1160;153;91;0;207
148;1202;165;105;0;208
103;1118;120;63;0;160
492;4738;498;315;0;675
0;29;;0;0;
;48;;;0;
;10;0;0;0;
;;;;0;
;29;;;0;
;45;;;0;
11;66;;;0;13
20;97;11;10;0;21
23;115;15;14;0;24
32;161;27;23;0;36
48;229;39;34;0;53
96;649;97;71;0;122
69;520;76;52;0;93
121;863;106;77;0;150
117;1134;122;75;0;164
99;1741;125;53;0;171
885;10259;986;564;0;1307
0;58;;0;0;
0;102;;0;0;
0;11;0;0;0;0
0;12;0;0;0;0
;125;;;0;
;199;;;0;
15;230;17;12;0;20
30;294;30;24;0;36
35;338;31;23;0;43
44;437;42;32;0;54
71;618;63;51;0;83
201;1750;196;133;0;264
159;1390;161;106;0;214
211;2004;240;140;0;311
204;2449;230;134;0;300
188;3024;241;97;0;332
480;5315;531;313;0;698
0;31;;0;0;
0;57;;0;0;
0;;0;0;0;0
0;;0;0;0;0
;84;;;0;
;142;;;0;
;164;;;0;
16;209;14;13;0;17
23;236;19;15;0;27
29;283;28;23;0;34
45;381;37;32;0;50
133;1106;123;84;0;172
107;888;105;70;0;142
117;1127;134;77;0;174
108;1239;119;70;0;157
71;1152;108;42;0;137
405;4944;455;251;0;609
0;27;0;0;0;0
0;45;0;0;0;0
0;;0;0;0;0
0;;0;0;0;0
;41;;0;0;
;57;;0;0;
;66;10;;0;11
14;85;16;11;0;19
12;102;12;;0;16
15;154;14;;0;20
26;237;26;19;0;33
68;644;73;49;0;92
52;502;56;36;0;72
94;877;106;63;0;137
96;1210;111;64;0;143
117;1872;133;55;0;195
862;10419;998;512;;1349
0;53;;0;0;
;108;;0;0;
;13;;0;0;
0;20;;0;0;
;116;;;0;
;201;;;0;
12;228;;;0;16
23;291;13;;0;28
33;352;23;17;0;39
40;421;37;26;0;51
63;586;51;37;0;77
184;1702;173;115;0;242
144;1355;144;93;0;195
212;2115;251;128;0;335
189;2455;264;115;;339
206;3126;249;115;0;340
496;5401;554;284;0;766
0;25;;0;0;
0;60;;0;0;
0;;0;0;0;0
0;14;0;0;0;0
;85;;;0;
;151;;;0;
;171;;;0;11
18;215;;;0;21
22;241;13;;0;26
29;265;23;18;0;34
48;371;39;29;0;58
108;1057;96;63;0;141
79;835;73;47;0;105
127;1230;160;75;0;212
103;1223;138;57;0;184
106;1200;121;61;0;166
366;5018;444;228;;583
0;28;0;0;0;0
;48;;0;0;
;;;0;0;
0;;;0;0;
0;31;;0;0;
;50;;;0;
;57;;;0;
;76;;;0;
11;111;10;;0;13
11;156;14;;0;17
15;215;12;;0;19
76;645;77;52;0;101
65;520;71;46;0;90
85;885;91;53;0;123
86;1232;126;58;;155
100;1926;128;54;0;174
2042;12196;1793;1279;;2563
0;44;;0;0;
;82;;;0;
0;;;0;0;
;15;;;0;
;107;;;0;
16;197;15;11;0;20
34;254;25;18;0;41
60;321;39;33;;67
86;402;62;51;;98
114;525;86;66;0;134
149;713;111;86;0;174
456;2065;366;285;;537
372;1646;302;236;;438
507;2573;444;327;;624
482;2951;455;323;;618
406;3482;384;233;;559
1147;6375;993;706;;1437
0;30;;0;0;
0;54;;0;0;
0;;0;0;0;0
0;10;0;0;0;0
;77;;;0;
10;149;;;0;11
20;183;18;12;0;26
35;216;24;19;;41
53;257;35;27;;62
75;324;58;42;0;91
108;457;75;58;0;125
295;1294;222;175;0;342
232;1019;182;144;0;270
274;1454;234;173;0;335
266;1497;256;176;;348
192;1387;191;115;0;268
895;5821;800;573;;1126
0;14;;0;0;
;28;;;0;
0;;;0;0;
;;;;0;
;30;;;0;
;48;;;0;
14;71;;;0;15
25;105;15;14;0;26
33;145;27;24;0;36
39;201;28;24;0;43
41;256;36;28;0;49
161;771;144;110;;195
140;627;120;92;;168
233;1119;210;154;;289
216;1454;199;147;;270
214;2095;193;118;;291
3908;14481;2781;2236;11;4461
;49;0;0;0;
;92;;;0;
;11;;;0;
0;17;0;0;0;0
;111;;;0;
24;207;15;13;0;26
38;268;23;20;0;41
51;339;34;28;;58
91;424;57;48;;101
163;566;96;81;0;178
245;816;165;137;0;273
754;2472;544;455;;844
612;1980;439;368;;684
859;2937;655;539;;977
1000;3517;742;594;;1148
1050;4351;694;525;;1223
2166;7578;1550;1272;;2447
;33;0;0;0;
;59;;;0;
;;;;0;
0;;0;0;0;0
;77;;;0;
13;140;;;0;15
26;190;15;13;0;28
30;231;21;16;;36
62;276;37;33;;67
109;369;63;59;0;113
156;509;100;88;0;168
496;1519;337;288;0;545
403;1220;276;235;0;444
509;1700;379;312;;578
542;1851;410;337;;615
461;1709;330;252;0;539
1742;6903;1231;964;;2014
0;16;0;0;0;0
;33;0;0;0;
;;0;0;0;
0;;0;0;0;0
;34;;;0;
11;67;;;0;11
12;78;;;0;13
21;108;13;12;0;22
29;148;20;15;0;34
54;197;33;22;0;65
89;307;65;49;0;105
258;953;207;167;;299
209;760;163;133;;240
350;1237;276;227;0;399
458;1666;332;257;0;533
589;2642;364;273;;684
1425;10114;1189;787;;1832
0;50;;0;0;
0;91;;0;0;
0;10;;0;0;
0;14;0;0;0;0
;94;;;0;
;151;;;0;12
12;172;;;0;16
19;220;12;;0;23
39;300;18;13;0;44
58;415;35;25;;68
77;553;57;42;;92
221;1579;187;132;;277
177;1263;155;108;;225
355;2051;305;220;;442
386;2552;323;213;;497
377;3055;318;185;;511
823;5383;684;471;;1040
0;30;;0;0;
0;56;;0;0;
0;;;0;0;
0;;0;0;0;0
;64;;;0;
;107;;;0;
;128;;;0;10
14;156;10;;0;17
22;201;12;;0;26
34;275;18;15;0;37
52;366;37;30;0;59
137;976;115;86;0;166
106;769;91;68;0;129
224;1216;199;143;;282
227;1357;196;128;;296
181;1240;140;89;;233
602;4731;505;316;;792
0;20;0;0;0;0
0;35;0;0;0;0
0;;0;0;0;0
0;;0;0;0;0
0;30;0;0;0;0
;44;;;0;
;44;;;0;
;64;;;0;
17;99;;;0;18
24;140;17;10;;31
25;187;20;12;;33
84;603;72;46;;111
71;494;64;40;;96
131;835;106;77;0;160
159;1195;127;85;0;201
196;1815;178;96;;278
385;9486;573;172;;792
0;65;;0;0;
;107;;;0;
0;;;0;0;
;19;;;0;
;117;;;0;
;172;;;0;
;202;;;0;10
;271;;;0;11
;287;11;;0;15
16;349;13;;0;22
18;527;25;;0;36
49;1581;80;20;0;109
40;1255;62;16;0;86
83;1856;126;44;0;165
111;2337;173;50;;235
118;2813;161;46;;238
198;4928;303;91;;413
0;25;;0;0;
;50;;;0;
0;;0;0;0;0
;;;;0;
;81;;;0;
;119;;;0;
;149;;;0;
;186;;;0;
;177;;;0;
;210;;;0;10
;331;12;;0;18
23;994;44;;0;60
19;782;34;;0;47
51;1076;76;25;0;102
64;1215;96;29;0;131
47;1078;73;25;;98
187;4558;270;81;;379
0;40;;0;0;
0;57;;0;0;
0;;;0;0;
0;10;0;0;0;0
0;36;0;0;0;0
;53;;;0;
;53;;;0;
0;85;;0;0;
;110;;;0;
;139;;;0;12
10;196;13;;0;18
26;587;36;13;0;49
21;473;28;10;0;39
32;780;50;19;0;63
47;1122;77;21;;104
71;1735;88;21;;140
172;8895;459;54;14;590
0;47;0;0;0;0
0;82;0;0;0;0
0;12;0;0;0;0
0;12;0;0;0;0
;89;;0;0;
;176;;;0;
;235;;;0;12
;255;;0;0;10
;265;;0;0;
;327;;;0;11
;454;16;;;23
32;1373;61;12;;85
27;1099;51;10;;71
29;1890;115;;;138
40;2139;122;13;;151
58;2653;143;17;;188
96;4651;244;33;;314
0;28;0;0;0;0
0;47;0;0;0;0
0;;0;0;0;0
0;;0;0;0;0
0;69;;0;0;
;138;;;0;
;182;;;0;
;189;;0;0;
0;185;;0;0;
;221;;0;0;
;300;10;;;15
21;855;36;;;52
19;675;29;;;43
17;1087;62;;;74
26;1099;67;10;;84
25;1015;67;;;86
76;4244;215;21;;276
0;19;0;0;0;0
0;35;0;0;0;0
0;;0;0;0;0
0;;0;0;0;0
;20;0;0;0;
;38;;;0;
;53;;;0;
;66;;0;0;
;80;0;0;0;
;106;;;0;
;154;;;0;
11;518;25;;;33
;424;22;;;28
12;803;53;;;64
14;1040;55;;;67
33;1638;76;;;102
271;9192;498;104;14;677
0;60;;0;;
0;107;;0;;
0;11;;0;0;
0;18;0;0;0;0
0;121;;0;0;
;192;;0;0;
;207;;0;0;
;247;;0;0;
;291;;;0;
;366;12;;;16
;491;19;;;23
24;1472;65;;;81
21;1185;56;;;70
60;1841;95;23;;134
61;2226;152;30;;187
116;2741;165;40;;245
150;4732;252;64;;344
0;30;;0;;
0;57;;0;;
0;;0;0;0;0
0;12;0;0;0;0
0;96;;0;0;
;147;;0;0;
;148;;0;0;
0;184;;0;0;
;202;;;0;
;227;;;;12
;309;13;;;15
11;919;34;;0;39
10;733;28;;0;33
40;1026;57;17;;82
36;1131;76;18;;96
58;1041;72;22;;109
121;4460;246;40;;333
0;30;0;0;0;0
0;50;;0;0;
0;;;0;0;
0;;0;0;0;0
0;25;;0;0;
;45;;0;0;
;59;;0;0;
;63;;0;0;
;89;;0;0;
;139;;;0;
;182;;;0;
13;553;31;;;42
11;452;28;;;37
20;815;38;;0;52
25;1095;76;12;;91
58;1700;93;18;;136
317;8927;518;109;;729
0;47;;0;0;
;105;;;0;
0;14;0;0;0;0
;23;;;0;
;117;;0;0;
;187;;0;0;
;212;;;0;
;259;10;;0;14
;300;;;0;11
;338;11;0;0;18
14;449;20;;0;33
36;1388;62;11;;88
29;1115;50;10;;70
45;1789;107;19;;134
80;2190;142;31;0;191
141;2671;177;45;;274
161;4560;269;63;;368
0;25;;0;0;
;69;;;0;
0;;0;0;0;0
;17;;;0;
0;85;;0;0;
0;127;;0;0;
;147;;;0;
;169;;;0;
;196;;;0;
;226;;0;0;12
;278;12;;0;19
14;829;31;;;42
12;664;23;;;33
21;997;65;12;0;74
43;1115;72;17;0;98
71;1028;83;27;;127
156;4367;249;46;;361
0;22;;0;0;
0;36;;0;0;
0;;0;0;0;0
0;;0;0;0;0
;32;;0;0;
;60;;0;0;
;65;;0;0;
;90;;0;0;
0;104;;0;0;
;112;;0;0;
;171;;0;0;14
22;559;31;;0;46
17;451;27;;0;37
24;792;42;;;60
37;1075;70;14;0;93
70;1643;94;18;;147
379;9265;533;128;;786
0;52;0;0;0;0
;115;0;0;0;
0;;0;0;0;0
;32;0;0;0;
;107;;0;0;
0;193;;0;0;
;243;;0;0;
;281;;;0;14
;296;;;0;12
;352;;0;0;12
17;492;18;;0;31
42;1448;79;18;;104
31;1160;63;14;;81
59;1880;115;22;0;152
112;2261;152;41;;224
148;2735;174;46;0;276
208;4840;279;75;0;412
0;26;0;0;0;0
;60;0;0;0;
0;;0;0;0;0
;11;0;0;0;
0;74;0;0;0;0
0;131;;0;0;
;169;;0;0;
;201;;;0;
;205;;;0;
;232;;0;0;10
;323;;;0;16
20;924;36;;0;48
16;735;30;;0;39
36;1075;62;13;0;85
64;1119;87;24;0;127
74;1098;86;29;0;131
171;4425;254;53;;374
0;26;0;0;0;0
;55;0;0;0;
0;;0;0;0;0
0;21;0;0;0;0
;33;;0;0;
0;62;;0;0;
;74;;0;0;
;80;;0;0;
;91;;0;0;
;120;0;0;0;
;169;10;;0;15
22;524;43;10;;56
15;425;33;;;42
23;805;53;;0;67
48;1142;65;17;;97
74;1637;88;17;0;145
403;9284;543;162;;785
0;60;0;0;0;0
0;107;;0;0;
0;10;;0;0;
0;19;;0;0;
;91;;0;0;
;175;;0;0;
;238;;0;0;10
;265;;0;0;
;293;;;0;13
;371;10;;0;18
;490;15;0;0;23
46;1432;68;14;0;100
40;1149;58;14;0;84
72;1846;118;32;0;158
104;2306;154;50;0;208
166;2782;180;65;;282
210;4843;289;92;;408
0;32;0;0;0;0
0;67;;0;0;
0;;;0;0;
0;12;;0;0;
;75;;0;0;
;127;;0;0;
;169;;0;0;
;189;;0;0;
;189;;;0;
;241;;;0;12
;327;;0;0;
26;909;40;10;0;56
25;723;37;10;0;52
41;1062;67;18;0;90
69;1163;83;34;0;118
65;1085;81;29;;118
193;4441;254;70;0;377
0;28;0;0;0;0
0;40;0;0;0;0
0;;0;0;0;0
0;;0;0;0;0
0;16;0;0;0;0
;48;;0;0;
;69;;0;0;
;76;;0;0;
;104;;0;0;
;130;;0;0;
;163;;0;0;14
20;523;28;;0;44
15;426;21;;0;32
31;784;51;14;0;68
35;1143;71;16;0;90
101;1697;99;36;0;164
344;8981;505;115;0;734
0;46;;0;0;
0;79;;0;0;
0;;;0;0;
0;;0;0;0;0
;117;;0;0;
;186;;0;0;
;196;;0;0;
;245;;;0;
;301;11;;0;13
;378;19;;0;22
;530;23;;0;26
32;1433;76;14;0;94
28;1114;63;12;0;79
53;1778;105;19;0;139
108;2202;141;33;0;216
143;2680;153;46;0;250
187;4627;273;66;0;394
0;30;0;0;0;0
0;54;;0;0;
0;;;0;0;
0;;0;0;0;0
;88;;0;0;
;135;;0;0;
;138;;0;0;
;170;0;0;0;
;202;;;0;
;248;;;0;11
;332;14;;0;16
21;905;49;10;0;60
18;710;42;;0;51
32;987;60;15;0;77
68;1121;86;23;0;131
61;1007;66;17;0;110
157;4354;232;49;0;340
0;16;;0;0;
0;25;;0;0;
0;;0;0;0;0
0;;0;0;0;0
0;29;0;0;0;0
0;51;;0;0;
0;58;;0;0;
;75;;;0;
;99;;;0;
;130;10;;0;11
;198;;;0;10
11;528;27;;0;34
10;404;21;;0;28
21;791;45;;0;62
40;1081;55;10;0;85
82;1673;87;29;0;140
305;9812;588;114;;785
0;58;;0;0;
0;109;;0;0;
0;18;;0;0;
0;14;;0;0;
0;115;0;0;0;0
0;187;;0;0;
0;200;;0;0;
0;261;;0;0;
;289;;0;0;10
;331;11;;0;16
;498;20;;;24
29;1546;81;13;;100
26;1242;68;10;;86
51;1955;110;13;;149
86;2363;149;28;;208
133;3060;225;59;;300
152;4996;311;63;;403
0;32;;0;0;
0;62;;0;0;
0;12;;0;0;
0;;;0;0;
0;88;0;0;0;0
0;142;;0;0;
0;143;;0;0;
0;186;;0;0;
;196;;0;0;
;216;;0;0;10
;324;12;;;15
13;956;49;;;57
11;761;41;;;48
28;1083;60;;;80
46;1196;83;16;0;113
62;1155;101;31;0;132
153;4816;277;51;;382
0;26;0;0;0;0
0;47;0;0;0;0
0;;0;0;0;0
0;;0;0;0;0
0;27;0;0;0;0
0;45;0;0;0;0
0;57;0;0;0;0
0;75;;0;0;
;93;;0;0;
;115;;;0;
;174;;;0;
16;590;32;;;43
15;481;27;;;38
23;872;50;;0;69
40;1167;66;12;;95
71;1905;124;28;;168
301;9780;613;107;36;841
0;61;0;0;0;0
0;113;0;0;;
0;12;0;0;0;0
0;16;0;0;;
;108;0;0;;
;171;;0;;
