ProcedureCode;TotalProc;pr0;pr1;pr2;pr3;pr4;pr5;pr6;pr7;pr8;pr9;pr10;pr11;pr12;pr13;pr14;pr15;pr16;pr17;pr18;pr19;pr20
13152;521;406;66;25;12;4;;;1;1;1;;;2;;1;1;;;1;;
13153;47;1;30;9;3;1;3;;;;;;;;;;;;;;;
13160;31;28;3;;;;;;;;;;;;;;;;;;;
14000;2;2;;;;;;;;;;;;;;;;;;;;
14001;3;1;1;;;;;;;1;;;;;;;;;;;;
14020;18;13;3;;1;;;;;;;1;;;;;;;;;;
14021;5;3;2;;;;;;;;;;;;;;;;;;;
14040;159;99;34;13;6;;4;1;;;;;;;1;;;;;;1;
14041;12;8;2;2;;;;;;;;;;;;;;;;;;
14060;86;63;16;4;;1;;;;;1;;;1;;;;;;;;
14061;3;1;2;;;;;;;;;;;;;;;;;;;
14301;6;4;;1;1;;;;;;;;;;;;;;;;;
14302;3;;1;;1;1;;;;;;;;;;;;;;;;
14350;4;1;1;1;;1;;;;;;;;;;;;;;;;
15002;4;1;1;1;;1;;;;;;;;;;;;;;;;
15003;1;;;;1;;;;;;;;;;;;;;;;;
15004;6;;2;1;2;;1;;;;;;;;;;;;;;;
15050;7;5;2;;;;;;;;;;;;;;;;;;;
15100;1;1;;;;;;;;;;;;;;;;;;;;
15101;1;;1;;;;;;;;;;;;;;;;;;;
15110;1;1;;;;;;;;;;;;;;;;;;;;
15120;9;6;2;1;;;;;;;;;;;;;;;;;;
15135;1;;;1;;;;;;;;;;;;;;;;;;
15152;1;1;;;;;;;;;;;;;;;;;;;;
15220;4;3;;1;;;;;;;;;;;;;;;;;;
15240;32;16;9;3;2;1;;;1;;;;;;;;;;;;;
15241;1;;1;;;;;;;;;;;;;;;;;;;
15260;5;1;2;1;;;;;;;1;;;;;;;;;;;
15271;1;1;;;;;;;;;;;;;;;;;;;;
15275;1;;1;;;;;;;;;;;;;;;;;;;
15277;1;;1;;;;;;;;;;;;;;;;;;;
15574;4;3;;;1;;;;;;;;;;;;;;;;;
15576;1;;;;1;;;;;;;;;;;;;;;;;
15620;1;1;;;;;;;;;;;;;;;;;;;;
15650;2;1;1;;;;;;;;;;;;;;;;;;;
15732;53;20;;6;14;11;2;;;;;;;;;;;;;;;
15736;10;;2;5;;;2;;;;;;1;;;;;;;;;
15738;2;2;;;;;;;;;;;;;;;;;;;;
15757;1;1;;;;;;;;;;;;;;;;;;;;
15758;1;1;;;;;;;;;;;;;;;;;;;;
15760;3;2;1;;;;;;;;;;;;;;;;;;;
15822;2;2;;;;;;;;;;;;;;;;;;;;
15823;2;2;;;;;;;;;;;;;;;;;;;;
15836;1;1;;;;;;;;;;;;;;;;;;;;
15839;1;1;;;;;;;;;;;;;;;;;;;;
15850;1;1;;;;;;;;;;;;;;;;;;;;
15851;2;2;;;;;;;;;;;;;;;;;;;;
15852;10;10;;;;;;;;;;;;;;;;;;;;
15999;3;1;2;;;;;;;;;;;;;;;;;;;
16000;419;391;9;10;5;2;2;;;;;;;;;;;;;;;
16020;5309;5059;133;63;25;12;5;5;1;;2;;;1;2;;;;;;1;
16025;428;410;12;2;2;;1;;;;1;;;;;;;;;;;
16030;132;122;5;3;;;1;;;;;;1;;;;;;;;;
16035;3;3;;;;;;;;;;;;;;;;;;;;
17106;12;11;1;;;;;;;;;;;;;;;;;;;
17110;28;25;2;;1;;;;;;;;;;;;;;;;;
17250;96;86;6;1;;;1;1;;;;;;;;;;;;;;1
17260;1;1;;;;;;;;;;;;;;;;;;;;
17313;1;1;;;;;;;;;;;;;;;;;;;;
17380;1;1;;;;;;;;;;;;;;;;;;;;
17999;667;508;84;37;10;12;4;4;;1;1;;2;1;1;;;;;;2;
19000;15;13;;;;;1;1;;;;;;;;;;;;;;
19020;53;50;1;2;;;;;;;;;;;;;;;;;;
19100;4;3;;;;;;;;;;1;;;;;;;;;;
19101;7;6;1;;;;;;;;;;;;;;;;;;;
19102;5;4;;;;1;;;;;;;;;;;;;;;;
19103;2;2;;;;;;;;;;;;;;;;;;;;
19120;6;6;;;;;;;;;;;;;;;;;;;;
19125;9;9;;;;;;;;;;;;;;;;;;;;
19126;2;;2;;;;;;;;;;;;;;;;;;;
19290;4;;4;;;;;;;;;;;;;;;;;;;
19295;3;;2;;;;;;;;;;;;;;;1;;;;
19301;2;2;;;;;;;;;;;;;;;;;;;;
19302;3;3;;;;;;;;;;;;;;;;;;;;
19303;8;8;;;;;;;;;;;;;;;;;;;;
19307;7;7;;;;;;;;;;;;;;;;;;;;
19318;1;1;;;;;;;;;;;;;;;;;;;;
19328;1;;1;;;;;;;;;;;;;;;;;;;
19330;1;;1;;;;;;;;;;;;;;;;;;;
19340;2;1;;1;;;;;;;;;;;;;;;;;;
19357;1;1;;;;;;;;;;;;;;;;;;;;
19380;1;;1;;;;;;;;;;;;;;;;;;;
19499;6;4;1;;;1;;;;;;;;;;;;;;;;
20005;69;56;7;2;1;3;;;;;;;;;;;;;;;;
20100;12;9;3;;;;;;;;;;;;;;;;;;;
20101;15;13;2;;;;;;;;;;;;;;;;;;;
20102;41;38;1;;1;;1;;;;;;;;;;;;;;;
20103;640;544;52;21;9;5;5;;3;1;;;;;;;;;;;;
20206;4;4;;;;;;;;;;;;;;;;;;;;
20220;3;2;;;1;;;;;;;;;;;;;;;;;
20225;7;4;3;;;;;;;;;;;;;;;;;;;
20240;1;1;;;;;;;;;;;;;;;;;;;;
20245;1;1;;;;;;;;;;;;;;;;;;;;
20501;5;3;1;;1;;;;;;;;;;;;;;;;;
20520;88;77;7;2;;;2;;;;;;;;;;;;;;;
20525;12;9;1;1;;;1;;;;;;;;;;;;;;;
20526;2;2;;;;;;;;;;;;;;;;;;;;
20550;42;34;3;2;1;1;;;1;;;;;;;;;;;;;
20551;2;2;;;;;;;;;;;;;;;;;;;;
20552;596;531;46;10;5;;;1;1;1;;;;;;;1;;;;;
20553;34;31;2;1;;;;;;;;;;;;;;;;;;
20600;85;74;6;3;;;;;1;1;;;;;;;;;;;;
20605;815;723;42;20;4;4;2;3;1;7;3;;2;1;;;1;;2;;;
20610;2814;2511;162;40;21;13;15;8;8;6;4;5;3;2;3;3;5;3;;;;2
20612;27;26;1;;;;;;;;;;;;;;;;;;;
20615;1;1;;;;;;;;;;;;;;;;;;;;
20650;2;;;1;1;;;;;;;;;;;;;;;;;
20660;1;1;;;;;;;;;;;;;;;;;;;;
20661;2;2;;;;;;;;;;;;;;;;;;;;
20665;1;;1;;;;;;;;;;;;;;;;;;;
20670;13;12;;;;;1;;;;;;;;;;;;;;;
20680;24;17;3;2;2;;;;;;;;;;;;;;;;;
20690;10;2;5;2;;1;;;;;;;;;;;;;;;;
20692;3;2;;;;;;;;;;;;1;;;;;;;;
20694;2;1;1;;;;;;;;;;;;;;;;;;;
20822;22;19;2;;1;;;;;;;;;;;;;;;;;
20827;1;1;;;;;;;;;;;;;;;;;;;;
20930;2;1;;;1;;;;;;;;;;;;;;;;;
20950;7;7;;;;;;;;;;;;;;;;;;;;
20985;6;;2;2;1;;;1;;;;;;;;;;;;;;
20999;328;298;21;6;2;;;;;;;;;;;;;;;;;1
21011;1;;;;;;1;;;;;;;;;;;;;;;
21012;1;1;;;;;;;;;;;;;;;;;;;;
21073;1;1;;;;;;;;;;;;;;;;;;;;
21110;10;6;4;;;;;;;;;;;;;;;;;;;
21208;1;;1;;;;;;;;;;;;;;;;;;;
21210;2;;1;1;;;;;;;;;;;;;;;;;;
21235;3;2;1;;;;;;;;;;;;;;;;;;;
21299;11;10;;1;;;;;;;;;;;;;;;;;;
21310;32;29;3;;;;;;;;;;;;;;;;;;;
21315;105;90;8;4;;1;;;;;;1;;;;;;;1;;;
21320;43;33;4;1;1;;3;1;;;;;;;;;;;;;;
21325;4;3;;1;;;;;;;;;;;;;;;;;;
21336;1;1;;;;;;;;;;;;;;;;;;;;
21337;16;10;2;2;;1;;;;;;;;;1;;;;;;;
21343;1;1;;;;;;;;;;;;;;;;;;;;
21345;1;1;;;;;;;;;;;;;;;;;;;;
21356;2;2;;;;;;;;;;;;;;;;;;;;
21365;5;4;1;;;;;;;;;;;;;;;;;;;
21390;2;2;;;;;;;;;;;;;;;;;;;;
21400;4;4;;;;;;;;;;;;;;;;;;;;
21401;1;;;1;;;;;;;;;;;;;;;;;;
21421;7;5;1;1;;;;;;;;;;;;;;;;;;
21422;1;1;;;;;;;;;;;;;;;;;;;;
21440;17;11;3;2;;;;;;;;;;;1;;;;;;;
21445;1;1;;;;;;;;;;;;;;;;;;;;
21450;6;5;;1;;;;;;;;;;;;;;;;;;
21451;6;5;1;;;;;;;;;;;;;;;;;;;
21453;16;13;1;;;1;;;;;;;;;;;;;;;;1
21462;3;2;;1;;;;;;;;;;;;;;;;;;
21465;2;2;;;;;;;;;;;;;;;;;;;;
21480;409;390;4;8;2;1;3;;;;;1;;;;;;;;;;
21485;1;1;;;;;;;;;;;;;;;;;;;;
21497;6;4;2;;;;;;;;;;;;;;;;;;;
21499;6;5;1;;;;;;;;;;;;;;;;;;;
21501;20;18;1;;;1;;;;;;;;;;;;;;;;
21550;1;;;;1;;;;;;;;;;;;;;;;;
21552;2;2;;;;;;;;;;;;;;;;;;;;
21554;3;2;1;;;;;;;;;;;;;;;;;;;
21555;1;1;;;;;;;;;;;;;;;;;;;;
21558;1;1;;;;;;;;;;;;;;;;;;;;
21800;56;37;11;4;3;;;;;;;;;;1;;;;;;;
21820;2;2;;;;;;;;;;;;;;;;;;;;
21899;1;1;;;;;;;;;;;;;;;;;;;;
21925;2;2;;;;;;;;;;;;;;;;;;;;
21930;1;1;;;;;;;;;;;;;;;;;;;;
21931;5;5;;;;;;;;;;;;;;;;;;;;
22305;15;8;2;1;;;1;2;1;;;;;;;;;;;;;
22310;14;12;1;1;;;;;;;;;;;;;;;;;;
22315;6;4;1;1;;;;;;;;;;;;;;;;;;
22520;13;12;;;;;;;;;;;;;;;;1;;;;
22521;10;9;1;;;;;;;;;;;;;;;;;;;
22522;6;;4;;;;;;;;;1;;;;;;;1;;;
22523;18;18;;;;;;;;;;;;;;;;;;;;
22524;21;18;3;;;;;;;;;;;;;;;;;;;
22525;5;;4;1;;;;;;;;;;;;;;;;;;
22551;2;1;;;;1;;;;;;;;;;;;;;;;
22552;2;;1;;;;1;;;;;;;;;;;;;;;
22600;1;;1;;;;;;;;;;;;;;;;;;;
22630;2;1;1;;;;;;;;;;;;;;;;;;;
22840;1;;;1;;;;;;;;;;;;;;;;;;
22851;6;;;2;2;;;1;1;;;;;;;;;;;;;
22899;3;2;;;;;;;;;;;;1;;;;;;;;
22900;1;1;;;;;;;;;;;;;;;;;;;;
22902;1;1;;;;;;;;;;;;;;;;;;;;
22903;2;2;;;;;;;;;;;;;;;;;;;;
22999;17;14;3;;;;;;;;;;;;;;;;;;;
23020;1;;;1;;;;;;;;;;;;;;;;;;
23030;14;8;2;1;2;;;;;;;;;;;;;;1;;;
23040;1;1;;;;;;;;;;;;;;;;;;;;
23044;1;1;;;;;;;;;;;;;;;;;;;;
23065;1;1;;;;;;;;;;;;;;;;;;;;
23071;1;;1;;;;;;;;;;;;;;;;;;;
23073;2;2;;;;;;;;;;;;;;;;;;;;
23130;2;2;;;;;;;;;;;;;;;;;;;;
23150;1;;1;;;;;;;;;;;;;;;;;;;
23330;8;7;1;;;;;;;;;;;;;;;;;;;
23332;1;1;;;;;;;;;;;;;;;;;;;;
23350;2;2;;;;;;;;;;;;;;;;;;;;
23405;1;1;;;;;;;;;;;;;;;;;;;;
23410;2;2;;;;;;;;;;;;;;;;;;;;
23412;2;1;1;;;;;;;;;;;;;;;;;;;
23420;1;1;;;;;;;;;;;;;;;;;;;;
23460;1;1;;;;;;;;;;;;;;;;;;;;
23465;2;1;;1;;;;;;;;;;;;;;;;;;
23472;1;;1;;;;;;;;;;;;;;;;;;;
23500;195;170;12;5;4;1;1;;1;;;;;1;;;;;;;;
23505;26;26;;;;;;;;;;;;;;;;;;;;
23515;6;6;;;;;;;;;;;;;;;;;;;;
23525;2;2;;;;;;;;;;;;;;;;;;;;
23540;79;58;14;7;;;;;;;;;;;;;;;;;;
23545;49;46;2;;;;1;;;;;;;;;;;;;;;
23550;1;1;;;;;;;;;;;;;;;;;;;;
23570;10;9;;1;;;;;;;;;;;;;;;;;;
23575;15;9;1;1;1;;3;;;;;;;;;;;;;;;
23600;73;62;3;2;1;1;2;1;1;;;;;;;;;;;;;
23605;180;162;6;2;1;3;1;1;;2;1;;;1;;;;;;;;
23615;1;1;;;;;;;;;;;;;;;;;;;;
23620;16;10;2;1;1;;1;;;1;;;;;;;;;;;;
23625;7;7;;;;;;;;;;;;;;;;;;;;
23650;4745;4269;183;95;63;48;28;23;12;5;5;6;1;1;;1;;2;;2;1;
23655;1107;985;54;25;10;10;7;7;3;1;2;2;1;;;;;;;;;
23660;1;1;;;;;;;;;;;;;;;;;;;;
23665;122;107;8;;2;1;;;1;1;;;;;;1;1;;;;;
23670;1;1;;;;;;;;;;;;;;;;;;;;
23675;31;25;;3;1;;;;;1;1;;;;;;;;;;;
23700;1;1;;;;;;;;;;;;;;;;;;;;
23929;7;7;;;;;;;;;;;;;;;;;;;;
23930;12;9;;;;;;1;;;2;;;;;;;;;;;
23931;40;35;1;1;;;;1;2;;;;;;;;;;;;;
24000;1;1;;;;;;;;;;;;;;;;;;;;
24065;1;;1;;;;;;;;;;;;;;;;;;;
24101;1;1;;;;;;;;;;;;;;;;;;;;
24105;2;2;;;;;;;;;;;;;;;;;;;;
24125;1;1;;;;;;;;;;;;;;;;;;;;
24130;1;1;;;;;;;;;;;;;;;;;;;;
24200;28;24;3;;1;;;;;;;;;;;;;;;;;
24201;4;3;;;1;;;;;;;;;;;;;;;;;
24220;3;1;2;;;;;;;;;;;;;;;;;;;
24300;2;2;;;;;;;;;;;;;;;;;;;;
24301;2;;1;;1;;;;;;;;;;;;;;;;;
24340;1;1;;;;;;;;;;;;;;;;;;;;
24341;11;5;5;;;;1;;;;;;;;;;;;;;;
24357;1;1;;;;;;;;;;;;;;;;;;;;
24500;44;36;4;2;;;;1;;1;;;;;;;;;;;;
24505;119;104;6;3;1;;2;;1;1;;;;;;;1;;;;;
24515;1;1;;;;;;;;;;;;;;;;;;;;
24516;1;1;;;;;;;;;;;;;;;;;;;;
24530;150;147;;;2;;;;;;;;;1;;;;;;;;
24535;89;80;7;1;;1;;;;;;;;;;;;;;;;
24538;31;30;;;;1;;;;;;;;;;;;;;;;
24545;6;4;2;;;;;;;;;;;;;;;;;;;
24560;23;23;;;;;;;;;;;;;;;;;;;;
24565;33;29;2;;;;1;;1;;;;;;;;;;;;;
24566;1;1;;;;;;;;;;;;;;;;;;;;
24575;1;1;;;;;;;;;;;;;;;;;;;;
24576;34;32;;1;;1;;;;;;;;;;;;;;;;
24577;78;64;7;;2;1;1;1;1;;;;;;;;;;;;1;
24579;2;2;;;;;;;;;;;;;;;;;;;;
24586;1;1;;;;;;;;;;;;;;;;;;;;
24600;786;714;26;26;8;5;1;1;;1;1;1;;1;;;;;1;;;
24605;224;200;7;4;2;1;4;3;2;;;1;;;;;;;;;;
24615;2;2;;;;;;;;;;;;;;;;;;;;
24620;74;65;1;2;1;1;3;1;;;;;;;;;;;;;;
24635;3;3;;;;;;;;;;;;;;;;;;;;
24640;4238;4122;67;30;10;6;1;2;;;;;;;;;;;;;;
24650;95;85;5;4;;;;;;1;;;;;;;;;;;;
24655;158;135;13;2;2;;1;1;;1;2;1;;;;;;;;;;
24665;5;5;;;;;;;;;;;;;;;;;;;;
24666;2;1;1;;;;;;;;;;;;;;;;;;;
24670;36;35;1;;;;;;;;;;;;;;;;;;;
24675;47;38;4;3;;;2;;;;;;;;;;;;;;;
24685;12;11;1;;;;;;;;;;;;;;;;;;;
24999;50;45;2;1;1;;;;1;;;;;;;;;;;;;
25000;5;5;;;;;;;;;;;;;;;;;;;;
25001;1;1;;;;;;;;;;;;;;;;;;;;
25020;2;;;;1;1;;;;;;;;;;;;;;;;
25024;1;;1;;;;;;;;;;;;;;;;;;;
25028;5;4;;1;;;;;;;;;;;;;;;;;;
25101;2;1;1;;;;;;;;;;;;;;;;;;;
25105;1;1;;;;;;;;;;;;;;;;;;;;
25111;1;;;1;;;;;;;;;;;;;;;;;;
25150;1;1;;;;;;;;;;;;;;;;;;;;
25215;1;1;;;;;;;;;;;;;;;;;;;;
25246;2;1;;1;;;;;;;;;;;;;;;;;;
25248;14;11;2;;;;;;;;;;;;;;;1;;;;
25259;2;1;1;;;;;;;;;;;;;;;;;;;
25260;54;35;9;4;2;3;1;;;;;;;;;;;;;;;
25270;30;16;7;4;1;1;1;;;;;;;;;;;;;;;
25275;4;3;1;;;;;;;;;;;;;;;;;;;
25290;2;;;;1;1;;;;;;;;;;;;;;;;
25320;1;;;;;;1;;;;;;;;;;;;;;;
25400;4;1;1;2;;;;;;;;;;;;;;;;;;
25415;8;7;1;;;;;;;;;;;;;;;;;;;
25431;1;;1;;;;;;;;;;;;;;;;;;;
25447;1;1;;;;;;;;;;;;;;;;;;;;
25500;19;16;1;;;1;;;;;;;;;;;;;;1;;
25505;135;117;7;5;;3;;1;;2;;;;;;;;;;;;
25515;1;1;;;;;;;;;;;;;;;;;;;;
25520;9;6;1;1;;;;;;1;;;;;;;;;;;;
25525;2;2;;;;;;;;;;;;;;;;;;;;
25530;18;16;;1;;;;;;;;;;;;;;;1;;;
25535;39;33;4;;;1;;;;;1;;;;;;;;;;;
25545;2;;1;;1;;;;;;;;;;;;;;;;;
25560;57;53;1;1;2;;;;;;;;;;;;;;;;;
