ProcedureCode;TotalProc;pr0;pr1;pr2;pr3;pr4;pr5;pr6;pr7;pr8;pr9;pr10;pr11;pr12;pr13;pr14;pr15;pr16;pr17;pr18;pr19;pr20
35840;1;1;;;;;;;;;;;;;;;;;;;;
35860;8;7;;;;;;;1;;;;;;;;;;;;;
35903;1;1;;;;;;;;;;;;;;;;;;;;
36000;13934;6890;1042;1281;873;416;317;394;471;513;496;388;282;185;109;105;60;34;29;21;17;11
36002;15;13;;1;;;;1;;;;;;;;;;;;;;
36005;6;2;3;1;;;;;;;;;;;;;;;;;;
36010;25;8;6;4;1;;;;;1;;1;1;;;;;;2;;;1
36011;8;2;4;;1;;1;;;;;;;;;;;;;;;
36012;7;4;2;1;;;;;;;;;;;;;;;;;;
36013;3;2;1;;;;;;;;;;;;;;;;;;;
36014;2;2;;;;;;;;;;;;;;;;;;;;
36100;2;;2;;;;;;;;;;;;;;;;;;;
36120;5;1;;1;1;2;;;;;;;;;;;;;;;;
36140;20;6;6;3;2;1;2;;;;;;;;;;;;;;;
36147;206;38;75;40;20;2;4;7;2;5;4;1;2;1;3;1;1;;;;;
36148;93;1;6;32;18;11;5;2;4;3;2;2;1;2;;3;1;;;;;
36200;8;1;6;;;1;;;;;;;;;;;;;;;;
36215;21;7;4;2;4;2;;;;;1;;1;;;;;;;;;
36216;18;4;5;3;1;;;1;1;;;;1;1;;;;;1;;;
36217;21;6;6;4;;;;1;;1;1;1;;;;;;;;;;1
36218;25;1;1;1;2;3;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;
36245;10;4;2;2;2;;;;;;;;;;;;;;;;;
36246;6;4;;1;;;;;;;;;;;;;;1;;;;
36247;5;4;1;;;;;;;;;;;;;;;;;;;
36248;3;;3;;;;;;;;;;;;;;;;;;;
36251;1;1;;;;;;;;;;;;;;;;;;;;
36252;6;;4;2;;;;;;;;;;;;;;;;;;
36260;1;;;1;;;;;;;;;;;;;;;;;;
36400;1;1;;;;;;;;;;;;;;;;;;;;
36405;1;1;;;;;;;;;;;;;;;;;;;;
36406;14;14;;;;;;;;;;;;;;;;;;;;
36410;124;65;27;15;5;1;1;3;1;1;1;;;1;;;1;;1;;;1
36415;498950;285813;35156;22336;19545;18848;18751;17961;16050;14007;12206;9849;7471;5689;4183;3088;2439;1776;1368;1032;823;559
36416;873;270;199;65;39;35;28;20;30;26;31;27;25;11;15;19;11;10;4;5;1;2
36425;15;5;2;1;3;;1;;1;1;;;;;;;1;;;;;
36430;7414;5049;1381;305;118;58;39;35;22;28;32;50;42;35;26;37;30;29;27;32;20;19
36510;3;;2;1;;;;;;;;;;;;;;;;;;
36511;1;;1;;;;;;;;;;;;;;;;;;;
36513;6;4;1;1;;;;;;;;;;;;;;;;;;
36514;9;5;1;;1;;;;;;;;1;;;;;1;;;;
36515;2;2;;;;;;;;;;;;;;;;;;;;
36555;20;8;7;;3;;;;;;;;;1;;;1;;;;;
36556;1160;645;281;115;43;21;16;7;1;;1;5;1;;5;3;1;5;2;1;4;3
36558;179;105;35;15;5;4;1;3;1;;1;1;1;2;1;;;3;;;1;
36560;2;2;;;;;;;;;;;;;;;;;;;;
36561;40;28;8;2;;;1;1;;;;;;;;;;;;;;
36563;1;1;;;;;;;;;;;;;;;;;;;;
36565;4;3;1;;;;;;;;;;;;;;;;;;;
36566;3;3;;;;;;;;;;;;;;;;;;;;
36568;18;5;7;2;;1;3;;;;;;;;;;;;;;;
36569;854;631;129;43;10;6;5;1;6;5;;;2;2;3;1;2;;2;1;3;2
36571;5;2;1;2;;;;;;;;;;;;;;;;;;
36575;37;25;6;2;;1;;;;;;;;;;;;1;;;2;
36576;2;1;1;;;;;;;;;;;;;;;;;;;
36578;38;32;1;1;;2;;;;;1;;1;;;;;;;;;
36580;16;12;2;1;;;;;;;1;;;;;;;;;;;
36581;84;51;15;10;3;1;1;;;;1;1;1;;;;;;;;;
36582;3;1;1;;;;;;;1;;;;;;;;;;;;
36584;51;39;7;2;2;;;;;;;1;;;;;;;;;;
36585;2;2;;;;;;;;;;;;;;;;;;;;
36589;113;82;16;10;1;3;;;;;;;;;1;;;;;;;
36590;22;19;3;;;;;;;;;;;;;;;;;;;
36591;109;85;12;4;2;1;;;;;;;1;1;;;1;2;;;;
36592;301;239;10;2;3;4;4;2;6;6;6;3;2;2;5;2;3;1;;;1;
36593;57;47;8;;;;;;;;1;;;1;;;;;;;;
36595;1;1;;;;;;;;;;;;;;;;;;;;
36596;6;2;3;1;;;;;;;;;;;;;;;;;;
36597;5;4;;1;;;;;;;;;;;;;;;;;;
36598;16;9;6;1;;;;;;;;;;;;;;;;;;
36600;5824;1199;1206;471;268;182;170;169;154;199;178;223;221;205;210;165;145;142;93;78;89;57
36620;60;22;10;10;8;4;1;2;;1;1;;;;;1;;;;;;
36625;1;;1;;;;;;;;;;;;;;;;;;;
36640;1;;1;;;;;;;;;;;;;;;;;;;
36660;1;1;;;;;;;;;;;;;;;;;;;;
36680;185;54;55;31;22;9;3;1;;2;1;;1;1;;;2;1;;1;;1
36810;1;;;;1;;;;;;;;;;;;;;;;;
36815;1;1;;;;;;;;;;;;;;;;;;;;
36818;5;5;;;;;;;;;;;;;;;;;;;;
36819;3;3;;;;;;;;;;;;;;;;;;;;
36820;2;2;;;;;;;;;;;;;;;;;;;;
36821;34;29;3;1;1;;;;;;;;;;;;;;;;;
36822;2;;;1;1;;;;;;;;;;;;;;;;;
36825;5;4;;;;;;;;;;;;1;;;;;;;;
36830;17;15;1;;1;;;;;;;;;;;;;;;;;
36831;16;6;9;;;;;;;;1;;;;;;;;;;;
36832;12;11;;1;;;;;;;;;;;;;;;;;;
36833;12;10;1;1;;;;;;;;;;;;;;;;;;
36838;1;1;;;;;;;;;;;;;;;;;;;;
36860;3;2;1;;;;;;;;;;;;;;;;;;;
36861;1;1;;;;;;;;;;;;;;;;;;;;
36870;131;37;19;17;24;15;4;4;4;2;;2;1;2;;;;;;;;
37184;2;2;;;;;;;;;;;;;;;;;;;;
37186;1;1;;;;;;;;;;;;;;;;;;;;
37187;4;1;2;1;;;;;;;;;;;;;;;;;;
37191;51;40;7;1;;;1;1;;1;;;;;;;;;;;;
37195;42;32;6;;;;;;;;;;;;1;1;;;1;;1;
37200;1;1;;;;;;;;;;;;;;;;;;;;
37201;41;20;1;3;4;2;;;;;;;;;;;;;3;5;1;2
37202;1;;1;;;;;;;;;;;;;;;;;;;
37203;3;1;1;;;1;;;;;;;;;;;;;;;;
37204;22;6;5;5;4;;1;1;;;;;;;;;;;;;;
37205;41;5;12;9;1;3;2;3;;4;1;;;;;;;1;;;;
37206;4;;;1;1;;;;;;1;1;;;;;;;;;;
37207;1;;1;;;;;;;;;;;;;;;;;;;
37208;1;;;1;;;;;;;;;;;;;;;;;;
37220;3;2;;;;1;;;;;;;;;;;;;;;;
37221;4;1;1;1;;1;;;;;;;;;;;;;;;;
37224;8;6;1;;1;;;;;;;;;;;;;;;;;
37225;3;1;2;;;;;;;;;;;;;;;;;;;
37226;2;2;;;;;;;;;;;;;;;;;;;;
37228;2;;2;;;;;;;;;;;;;;;;;;;
37229;3;2;1;;;;;;;;;;;;;;;;;;;
37232;1;;;1;;;;;;;;;;;;;;;;;;
37233;1;;1;;;;;;;;;;;;;;;;;;;
37250;2;1;;;;;;;;;;;;;;;;;1;;;
37605;1;;1;;;;;;;;;;;;;;;;;;;
37607;11;7;2;1;;;1;;;;;;;;;;;;;;;
37609;6;5;;1;;;;;;;;;;;;;;;;;;
37615;1;;;;;;1;;;;;;;;;;;;;;;
37616;2;;1;;;;;;;1;;;;;;;;;;;;
37618;6;3;1;1;;;1;;;;;;;;;;;;;;;
37619;4;1;;2;1;;;;;;;;;;;;;;;;;
37700;1;;1;;;;;;;;;;;;;;;;;;;
37722;1;1;;;;;;;;;;;;;;;;;;;;
37780;1;;1;;;;;;;;;;;;;;;;;;;
37785;2;2;;;;;;;;;;;;;;;;;;;;
37799;141;112;18;1;4;2;2;;1;;;;1;;;;;;;;;
38100;2;1;1;;;;;;;;;;;;;;;;;;;
38101;1;1;;;;;;;;;;;;;;;;;;;;
38115;1;;;;1;;;;;;;;;;;;;;;;;
38220;11;10;1;;;;;;;;;;;;;;;;;;;
38221;46;33;12;1;;;;;;;;;;;;;;;;;;
38240;1;1;;;;;;;;;;;;;;;;;;;;
38300;2;2;;;;;;;;;;;;;;;;;;;;
38500;6;3;3;;;;;;;;;;;;;;;;;;;
38505;13;10;2;;1;;;;;;;;;;;;;;;;;
38525;5;1;4;;;;;;;;;;;;;;;;;;;
38550;1;1;;;;;;;;;;;;;;;;;;;;
38724;1;1;;;;;;;;;;;;;;;;;;;;
38745;1;;;1;;;;;;;;;;;;;;;;;;
38792;3;;2;1;;;;;;;;;;;;;;;;;;
38999;3;2;;;1;;;;;;;;;;;;;;;;;
39010;1;1;;;;;;;;;;;;;;;;;;;;
39400;4;2;1;;;1;;;;;;;;;;;;;;;;
39499;2;2;;;;;;;;;;;;;;;;;;;;
40490;1;1;;;;;;;;;;;;;;;;;;;;
40530;1;1;;;;;;;;;;;;;;;;;;;;
40650;135;124;6;2;;3;;;;;;;;;;;;;;;;
40652;19;16;;2;;1;;;;;;;;;;;;;;;;
40654;50;38;9;2;;;1;;;;;;;;;;;;;;;
40799;59;57;2;;;;;;;;;;;;;;;;;;;
40800;131;125;2;3;1;;;;;;;;;;;;;;;;;
40801;3;2;;1;;;;;;;;;;;;;;;;;;
40804;44;40;4;;;;;;;;;;;;;;;;;;;
40805;1;;1;;;;;;;;;;;;;;;;;;;
40806;1;1;;;;;;;;;;;;;;;;;;;;
40808;1;1;;;;;;;;;;;;;;;;;;;;
40810;1;;1;;;;;;;;;;;;;;;;;;;
40812;1;1;;;;;;;;;;;;;;;;;;;;
40820;1;1;;;;;;;;;;;;;;;;;;;;
40830;93;58;30;2;1;1;1;;;;;;;;;;;;;;;
40831;33;24;7;1;1;;;;;;;;;;;;;;;;;
40899;3;3;;;;;;;;;;;;;;;;;;;;
41000;11;11;;;;;;;;;;;;;;;;;;;;
41005;1;1;;;;;;;;;;;;;;;;;;;;
41007;1;1;;;;;;;;;;;;;;;;;;;;
41008;8;6;1;;;;;;;;;1;;;;;;;;;;
41016;1;;1;;;;;;;;;;;;;;;;;;;
41017;5;3;1;1;;;;;;;;;;;;;;;;;;
41100;1;;;;1;;;;;;;;;;;;;;;;;
41112;1;;1;;;;;;;;;;;;;;;;;;;
41120;1;1;;;;;;;;;;;;;;;;;;;;
41250;322;291;19;8;1;1;;1;;;;;;;;1;;;;;;
41251;19;15;2;1;;1;;;;;;;;;;;;;;;;
41252;83;74;7;2;;;;;;;;;;;;;;;;;;
41599;42;39;3;;;;;;;;;;;;;;;;;;;
41800;943;885;25;8;7;3;3;3;2;;;4;;;;2;;;1;;;
41805;4;4;;;;;;;;;;;;;;;;;;;;
41850;1;1;;;;;;;;;;;;;;;;;;;;
41899;295;195;57;24;5;6;;1;;;;1;;;;1;1;;1;1;1;1
42000;27;24;2;;;1;;;;;;;;;;;;;;;;
42100;1;;1;;;;;;;;;;;;;;;;;;;
42140;1;;1;;;;;;;;;;;;;;;;;;;
42145;1;1;;;;;;;;;;;;;;;;;;;;
42160;1;1;;;;;;;;;;;;;;;;;;;;
42180;8;6;;2;;;;;;;;;;;;;;;;;;
42182;4;2;;1;;;1;;;;;;;;;;;;;;;
42299;9;8;;;1;;;;;;;;;;;;;;;;;
42300;1;1;;;;;;;;;;;;;;;;;;;;
42310;7;5;1;1;;;;;;;;;;;;;;;;;;
42330;1;1;;;;;;;;;;;;;;;;;;;;
42400;2;2;;;;;;;;;;;;;;;;;;;;
42408;1;1;;;;;;;;;;;;;;;;;;;;
42409;2;1;1;;;;;;;;;;;;;;;;;;;
42415;3;2;1;;;;;;;;;;;;;;;;;;;
42420;4;3;1;;;;;;;;;;;;;;;;;;;
42440;2;2;;;;;;;;;;;;;;;;;;;;
42660;1;1;;;;;;;;;;;;;;;;;;;;
42699;5;5;;;;;;;;;;;;;;;;;;;;
42700;1095;1003;33;12;7;5;10;6;3;2;4;5;3;;;;1;;;;;1
42720;6;6;;;;;;;;;;;;;;;;;;;;
42725;1;;1;;;;;;;;;;;;;;;;;;;
42809;100;88;8;2;1;;1;;;;;;;;;;;;;;;
42826;5;4;1;;;;;;;;;;;;;;;;;;;
42831;1;1;;;;;;;;;;;;;;;;;;;;
42900;1;1;;;;;;;;;;;;;;;;;;;;
42960;79;76;2;;;;;;;1;;;;;;;;;;;;
42961;5;3;2;;;;;;;;;;;;;;;;;;;
42962;19;15;1;2;;;;;;;;;1;;;;;;;;;
42970;4;2;1;1;;;;;;;;;;;;;;;;;;
42972;1;1;;;;;;;;;;;;;;;;;;;;
42999;271;240;18;3;3;3;;1;;;2;1;;;;;;;;;;
43200;23;16;3;3;;1;;;;;;;;;;;;;;;;
43202;12;6;6;;;;;;;;;;;;;;;;;;;
43205;1;;1;;;;;;;;;;;;;;;;;;;
43215;123;99;17;1;2;1;;;2;;;;;;;1;;;;;;
43220;2;2;;;;;;;;;;;;;;;;;;;;
43226;2;;2;;;;;;;;;;;;;;;;;;;
43227;2;2;;;;;;;;;;;;;;;;;;;;
43232;1;1;;;;;;;;;;;;;;;;;;;;
43234;10;7;1;1;;;;;1;;;;;;;;;;;;;
43235;607;433;83;45;19;8;5;5;2;1;;1;;1;1;1;;;;1;;1
43236;5;3;1;;;1;;;;;;;;;;;;;;;;
43239;1181;822;253;53;12;7;6;;1;2;2;5;2;1;1;2;2;4;2;2;2;
43241;6;4;1;;;;1;;;;;;;;;;;;;;;
43242;6;6;;;;;;;;;;;;;;;;;;;;
43244;6;4;2;;;;;;;;;;;;;;;;;;;
43245;10;9;;1;;;;;;;;;;;;;;;;;;
43246;118;97;17;1;;;;2;;;;;1;;;;;;;;;
43247;954;780;116;34;5;5;6;4;;1;1;;1;;;;1;;;;;
43248;30;12;12;3;2;;;;1;;;;;;;;;;;;;
43249;117;52;43;11;4;1;1;;2;;;;;;;;;;2;;1;
43250;2;;1;1;;;;;;;;;;;;;;;;;;
43251;3;1;1;1;;;;;;;;;;;;;;;;;;
43255;55;27;12;9;4;;;1;;;1;;;;1;;;;;;;
43256;2;2;;;;;;;;;;;;;;;;;;;;
43258;10;9;1;;;;;;;;;;;;;;;;;;;
43259;8;4;1;;3;;;;;;;;;;;;;;;;;
43260;8;5;2;;1;;;;;;;;;;;;;;;;;
43261;7;3;2;1;;1;;;;;;;;;;;;;;;;
43262;30;11;14;3;2;;;;;;;;;;;;;;;;;
43264;29;10;9;8;2;;;;;;;;;;;;;;;;;
43265;1;;1;;;;;;;;;;;;;;;;;;;
43268;11;5;;4;1;1;;;;;;;;;;;;;;;;
43269;5;2;2;1;;;;;;;;;;;;;;;;;;
43271;6;1;2;2;1;;;;;;;;;;;;;;;;;
43273;2;;;2;;;;;;;;;;;;;;;;;;
43281;3;1;2;;;;;;;;;;;;;;;;;;;
43415;1;1;;;;;;;;;;;;;;;;;;;;
43450;32;9;16;4;;;2;;;;;;1;;;;;;;;;
43458;3;1;1;1;;;;;;;;;;;;;;;;;;
43499;11;8;;2;1;;;;;;;;;;;;;;;;;
43647;1;;1;;;;;;;;;;;;;;;;;;;
43659;2;2;;;;;;;;;;;;;;;;;;;;
43752;114;69;16;8;4;3;3;;;1;1;1;;1;1;;1;2;1;;2;
43753;305;163;44;33;24;13;2;4;1;;3;3;2;2;2;2;2;1;1;2;;1
43754;15;13;1;1;;;;;;;;;;;;;;;;;;
43755;1;1;;;;;;;;;;;;;;;;;;;;
43760;2914;2728;124;25;13;5;;1;4;;1;;2;;1;;2;2;2;3;;1
43761;8;5;2;;1;;;;;;;;;;;;;;;;;
43771;3;3;;;;;;;;;;;;;;;;;;;;
43773;2;2;;;;;;;;;;;;;;;;;;;;
43774;7;6;1;;;;;;;;;;;;;;;;;;;
43830;5;5;;;;;;;;;;;;;;;;;;;;
43832;1;1;;;;;;;;;;;;;;;;;;;;
43840;1;;;1;;;;;;;;;;;;;;;;;;
43845;1;1;;;;;;;;;;;;;;;;;;;;
43881;1;1;;;;;;;;;;;;;;;;;;;;
43999;16;12;2;1;;;;;1;;;;;;;;;;;;;
44020;2;2;;;;;;;;;;;;;;;;;;;;
44050;1;1;;;;;;;;;;;;;;;;;;;;
44055;1;1;;;;;;;;;;;;;;;;;;;;
44120;3;1;1;;1;;;;;;;;;;;;;;;;;
44140;1;1;;;;;;;;;;;;;;;;;;;;
44180;7;3;3;1;;;;;;;;;;;;;;;;;;
44204;2;2;;;;;;;;;;;;;;;;;;;;
44312;1;1;;;;;;;;;;;;;;;;;;;;
44320;1;1;;;;;;;;;;;;;;;;;;;;
44360;3;1;1;;;;;;;;;;;;;;;;;;;1
44366;2;1;1;;;;;;;;;;;;;;;;;;;
44372;4;2;2;;;;;;;;;;;;;;;;;;;
44373;1;;;1;;;;;;;;;;;;;;;;;;
44376;8;5;1;1;;;;;;;;;;;;;;1;;;;
44388;2;2;;;;;;;;;;;;;;;;;;;;
44389;2;;2;;;;;;;;;;;;;;;;;;;
44500;22;8;1;5;2;;1;3;1;;;;;;;;;;1;;;
44602;2;;;1;1;;;;;;;;;;;;;;;;;
44799;66;58;7;;1;;;;;;;;;;;;;;;;;
44800;2;1;1;;;;;;;;;;;;;;;;;;;
44950;78;55;20;;;;;;1;;;;;;;;2;;;;;
44960;1;1;;;;;;;;;;;;;;;;;;;;
44970;715;622;78;2;;;;;1;1;4;1;1;2;1;;1;;;;;1
44979;2;;1;1;;;;;;;;;;;;;;;;;;
45000;1;;1;;;;;;;;;;;;;;;;;;;
45005;25;22;;1;1;1;;;;;;;;;;;;;;;;
45020;4;4;;;;;;;;;;;;;;;;;;;;
45100;2;1;;1;;;;;;;;;;;;;;;;;;
45300;14;10;4;;;;;;;;;;;;;;;;;;;
45305;2;1;;1;;;;;;;;;;;;;;;;;;
45307;4;3;1;;;;;;;;;;;;;;;;;;;
45315;1;1;;;;;;;;;;;;;;;;;;;;
45330;48;32;9;4;1;;;;1;;;;;;;1;;;;;;
45331;20;17;;2;;;1;;;;;;;;;;;;;;;
45332;11;10;;;;;;1;;;;;;;;;;;;;;
45334;8;6;2;;;;;;;;;;;;;;;;;;;
45335;3;1;1;;1;;;;;;;;;;;;;;;;;
45337;2;2;;;;;;;;;;;;;;;;;;;;
45338;1;;;;;1;;;;;;;;;;;;;;;;
45342;1;1;;;;;;;;;;;;;;;;;;;;
45378;301;167;85;28;12;2;;1;2;1;;;;;;1;;1;;1;;
45379;5;5;;;;;;;;;;;;;;;;;;;;
45380;292;179;75;25;6;1;1;;1;1;2;;;;;;1;;;;;
45381;23;6;11;2;4;;;;;;;;;;;;;;;;;
45382;26;20;3;2;;;;;;;;;;;;1;;;;;;
45383;13;9;2;1;;1;;;;;;;;;;;;;;;;
45384;9;3;4;;;;1;;;;1;;;;;;;;;;;
45385;96;53;25;10;4;;1;1;1;1;;;;;;;;;;;;
45520;1;1;;;;;;;;;;;;;;;;;;;;
45541;8;8;;;;;;;;;;;;;;;;;;;;
45900;36;36;;;;;;;;;;;;;;;;;;;;
45915;43;37;3;;;;;;;1;;1;1;;;;;;;;;
45990;8;6;2;;;;;;;;;;;;;;;;;;;
45999;33;28;3;2;;;;;;;;;;;;;;;;;;
46020;7;4;3;;;;;;;;;;;;;;;;;;;
46040;471;428;22;6;3;2;2;1;2;1;;;;1;1;;;1;;;;1
46045;17;16;;;;;1;;;;;;;;;;;;;;;
46050;545;498;23;5;2;7;1;2;1;2;;2;1;;;;;;;1;;
46060;4;4;;;;;;;;;;;;;;;;;;;;
46080;3;1;2;;;;;;;;;;;;;;;;;;;
46083;445;402;26;6;3;5;1;2;;;;;;;;;;;;;;
46200;2;1;;;1;;;;;;;;;;;;;;;;;
46220;1;1;;;;;;;;;;;;;;;;;;;;
46221;4;3;1;;;;;;;;;;;;;;;;;;;
46230;4;4;;;;;;;;;;;;;;;;;;;;
46250;3;2;1;;;;;;;;;;;;;;;;;;;
46255;10;10;;;;;;;;;;;;;;;;;;;;
46257;1;1;;;;;;;;;;;;;;;;;;;;
46258;1;1;;;;;;;;;;;;;;;;;;;;
46260;8;8;;;;;;;;;;;;;;;;;;;;
46270;4;4;;;;;;;;;;;;;;;;;;;;
46280;1;1;;;;;;;;;;;;;;;;;;;;
46285;1;;;;;;;;;;;;;;;;;;;1;;
46320;67;63;3;1;;;;;;;;;;;;;;;;;;
46500;3;3;;;;;;;;;;;;;;;;;;;;
46505;3;;1;1;;1;;;;;;;;;;;;;;;;
46600;863;780;63;6;4;5;;;1;1;1;;1;;;;;;;;;1
46604;8;8;;;;;;;;;;;;;;;;;;;;
46606;1;;1;;;;;;;;;;;;;;;;;;;
46608;7;7;;;;;;;;;;;;;;;;;;;;
46614;4;3;;1;;;;;;;;;;;;;;;;;;
46615;1;1;;;;;;;;;;;;;;;;;;;;
46700;1;;1;;;;;;;;;;;;;;;;;;;
46922;2;1;;1;;;;;;;;;;;;;;;;;;
46930;3;3;;;;;;;;;;;;;;;;;;;;
46945;1;1;;;;;;;;;;;;;;;;;;;;
46946;1;1;;;;;;;;;;;;;;;;;;;;
46947;2;2;;;;;;;;;;;;;;;;;;;;
46999;82;76;6;;;;;;;;;;;;;;;;;;;
47000;33;26;5;;1;;;;;;;;;;;1;;;;;;
47001;2;;2;;;;;;;;;;;;;;;;;;;
47011;5;4;1;;;;;;;;;;;;;;;;;;;
47120;1;;;;1;;;;;;;;;;;;;;;;;
47360;1;;;;;1;;;;;;;;;;;;;;;;
47361;1;;1;;;;;;;;;;;;;;;;;;;
47379;3;;3;;;;;;;;;;;;;;;;;;;
47399;1;;1;;;;;;;;;;;;;;;;;;;
47420;1;;1;;;;;;;;;;;;;;;;;;;
47500;2;2;;;;;;;;;;;;;;;;;;;;
47505;17;8;5;1;;;1;;1;;;;;;1;;;;;;;
47510;3;3;;;;;;;;;;;;;;;;;;;;
47511;3;1;1;;;1;;;;;;;;;;;;;;;;
47525;36;28;4;4;;;;;;;;;;;;;;;;;;
47530;3;3;;;;;;;;;;;;;;;;;;;;
47562;318;284;22;1;1;;;1;;1;1;1;;2;;;1;1;1;;;1
47563;66;55;8;2;1;;;;;;;;;;;;;;;;;
47564;8;6;1;1;;;;;;;;;;;;;;;;;;
47600;6;3;2;;;;1;;;;;;;;;;;;;;;
47605;2;2;;;;;;;;;;;;;;;;;;;;
47610;1;1;;;;;;;;;;;;;;;;;;;;
47801;1;1;;;;;;;;;;;;;;;;;;;;
47900;1;1;;;;;;;;;;;;;;;;;;;;
47999;1;1;;;;;;;;;;;;;;;;;;;;
48102;2;1;;;;1;;;;;;;;;;;;;;;;
48999;1;;1;;;;;;;;;;;;;;;;;;;
49000;8;4;;1;2;;;1;;;;;;;;;;;;;;
49010;1;1;;;;;;;;;;;;;;;;;;;;
49020;2;1;;1;;;;;;;;;;;;;;;;;;
49021;24;17;4;;1;1;1;;;;;;;;;;;;;;;
49040;1;;;1;;;;;;;;;;;;;;;;;;
49041;2;2;;;;;;;;;;;;;;;;;;;;
49081;2;2;;;;;;;;;;;;;;;;;;;;
49082;1372;1167;104;31;8;8;5;3;6;3;1;9;5;4;2;3;1;3;1;3;1;4
49083;1627;1350;141;46;10;9;10;5;4;7;6;6;3;7;4;3;4;1;2;3;2;4
49084;16;8;6;1;;;;1;;;;;;;;;;;;;;
49180;11;11;;;;;;;;;;;;;;;;;;;;
49255;5;3;2;;;;;;;;;;;;;;;;;;;
49320;22;16;6;;;;;;;;;;;;;;;;;;;
49321;1;;;1;;;;;;;;;;;;;;;;;;
49322;13;6;5;1;1;;;;;;;;;;;;;;;;;
49324;4;3;1;;;;;;;;;;;;;;;;;;;
49325;2;2;;;;;;;;;;;;;;;;;;;;
49329;23;4;15;3;;1;;;;;;;;;;;;;;;;
49400;1;;;;;;;;;;;;;;;;1;;;;;
49418;3;3;;;;;;;;;;;;;;;;;;;;
49420;10;8;2;;;;;;;;;;;;;;;;;;;
49422;3;2;1;;;;;;;;;;;;;;;;;;;
49423;13;12;;;;1;;;;;;;;;;;;;;;;
49424;16;11;;;1;1;;1;;;;1;;;;;;;;;;1
49427;5;5;;;;;;;;;;;;;;;;;;;;
49436;1;1;;;;;;;;;;;;;;;;;;;;
49440;59;53;3;1;1;;;;;;;1;;;;;;;;;;
49441;8;8;;;;;;;;;;;;;;;;;;;;
49446;10;7;1;;1;;;;;;;;1;;;;;;;;;
49450;305;289;12;1;;1;;;;;;1;;;;1;;;;;;
49451;64;57;6;;;;1;;;;;;;;;;;;;;;
49452;85;73;6;2;1;;;;1;1;;1;;;;;;;;;;
49460;4;3;1;;;;;;;;;;;;;;;;;;;
49465;115;59;46;5;3;;;1;;;;1;;;;;;;;;;
49496;1;1;;;;;;;;;;;;;;;;;;;;
49500;1;1;;;;;;;;;;;;;;;;;;;;
49505;36;35;;;;;;;;1;;;;;;;;;;;;
49507;47;43;1;1;;;1;;;;;1;;;;;;;;;;
49520;4;4;;;;;;;;;;;;;;;;;;;;
49521;2;2;;;;;;;;;;;;;;;;;;;;
49525;2;2;;;;;;;;;;;;;;;;;;;;
49550;2;;2;;;;;;;;;;;;;;;;;;;
49553;7;6;;1;;;;;;;;;;;;;;;;;;
49555;1;1;;;;;;;;;;;;;;;;;;;;
49560;8;8;;;;;;;;;;;;;;;;;;;;
49561;5;4;1;;;;;;;;;;;;;;;;;;;
49565;1;1;;;;;;;;;;;;;;;;;;;;
49566;1;1;;;;;;;;;;;;;;;;;;;;
49568;8;;6;2;;;;;;;;;;;;;;;;;;
49570;3;3;;;;;;;;;;;;;;;;;;;;
49572;1;1;;;;;;;;;;;;;;;;;;;;
49585;9;4;4;1;;;;;;;;;;;;;;;;;;
49587;20;19;1;;;;;;;;;;;;;;;;;;;
49590;1;1;;;;;;;;;;;;;;;;;;;;
49650;8;6;1;;1;;;;;;;;;;;;;;;;;
49652;8;2;5;;1;;;;;;;;;;;;;;;;;
49653;1;;1;;;;;;;;;;;;;;;;;;;
49654;2;;2;;;;;;;;;;;;;;;;;;;
49655;2;2;;;;;;;;;;;;;;;;;;;;
49659;3;2;;1;;;;;;;;;;;;;;;;;;
49900;8;7;1;;;;;;;;;;;;;;;;;;;
49999;146;119;13;4;6;;1;;;1;;;;;;;;;1;1;;
50021;2;1;1;;;;;;;;;;;;;;;;;;;
50040;5;3;1;1;;;;;;;;;;;;;;;;;;
50080;2;2;;;;;;;;;;;;;;;;;;;;
50125;1;;;;;1;;;;;;;;;;;;;;;;
50200;9;7;2;;;;;;;;;;;;;;;;;;;
50382;2;1;;;;;;1;;;;;;;;;;;;;;
50384;1;;1;;;;;;;;;;;;;;;;;;;
50385;3;2;1;;;;;;;;;;;;;;;;;;;
50386;3;3;;;;;;;;;;;;;;;;;;;;
50387;2;2;;;;;;;;;;;;;;;;;;;;
50389;5;5;;;;;;;;;;;;;;;;;;;;
50390;4;;3;1;;;;;;;;;;;;;;;;;;
50392;24;19;2;1;1;;;;;;;;;;;1;;;;;;
50393;5;5;;;;;;;;;;;;;;;;;;;;
50394;39;19;13;3;1;1;;;;;;;;;;;;1;1;;;
50395;7;7;;;;;;;;;;;;;;;;;;;;
50398;141;113;15;7;2;1;1;;;;;;;;;;;;;1;1;
50553;1;;1;;;;;;;;;;;;;;;;;;;
50590;53;46;4;1;2;;;;;;;;;;;;;;;;;
50605;2;1;;;;;;;;1;;;;;;;;;;;;
50630;1;1;;;;;;;;;;;;;;;;;;;;
50684;2;1;1;;;;;;;;;;;;;;;;;;;
50688;5;2;1;1;;;;;1;;;;;;;;;;;;;
50690;3;2;;;;;;;;;;;;;;1;;;;;;
50953;1;;;1;;;;;;;;;;;;;;;;;;
50961;4;1;2;;1;;;;;;;;;;;;;;;;;
