Ecode;TotalECodes;e0;e1;e2;e3;e4
E878.5;203;198;3;2;;
E878.6;939;929;6;3;1;
E878.8;6117;6038;50;20;1;8
E878.9;380;369;6;4;;1
E879.0;226;218;8;;;
E879.1;1168;1152;8;8;;
E879.2;257;241;10;4;2;
E879.3;3;3;;;;
E879.4;434;433;1;;;
E879.5;2;2;;;;
E879.6;2987;2921;52;10;3;1
E879.7;51;49;;1;1;
E879.8;7977;7863;70;26;13;5
E879.9;1812;1782;19;9;2;
E880.0;313;309;4;;;
E880.1;2195;2151;37;5;1;1
E880.9;19668;19315;299;37;12;5
E881.0;5160;5099;47;11;2;1
E881.1;76;76;;;;
E882;1097;1077;14;3;1;2
E883.0;272;266;5;1;;
E883.1;1;1;;;;
E883.2;21;20;;1;;
E883.9;678;663;15;;;
E884.0;8515;8467;42;6;;
E884.1;149;149;;;;
E884.2;8278;8207;60;8;1;2
E884.3;3509;3462;35;11;;1
E884.4;15102;14963;93;38;3;5
E884.5;4273;4237;29;4;3;
E884.6;1054;1039;9;5;1;
E884.9;19397;19095;268;27;7;
E885.0;3216;3190;23;2;;1
E885.1;1736;1720;10;6;;
E885.2;7893;7835;38;16;4;
E885.3;1379;1319;58;2;;
E885.4;3539;3479;56;4;;
E885.9;121418;120201;1007;178;21;11
E886.0;2470;2434;27;6;2;1
E886.9;1546;1506;34;5;1;
E887;2871;2823;23;18;4;3
E888.0;4553;4382;152;10;7;2
E888.1;30961;29200;1467;268;17;9
E888.8;25776;25276;409;66;18;7
E888.9;81315;80287;795;190;28;15
E890.0;2;2;;;;
E890.2;333;312;15;5;1;
E890.3;108;96;8;1;3;
E890.8;12;11;1;;;
E890.9;38;37;1;;;
E891.0;5;5;;;;
E891.2;67;61;4;2;;
E891.3;14;13;1;;;
E891.8;51;48;3;;;
E891.9;8;8;;;;
E892;110;103;5;;1;1
E893.0;20;19;;1;;
E893.1;2;2;;;;
E893.2;17;17;;;;
E893.8;21;20;1;;;
E893.9;18;17;1;;;
E894;343;331;9;1;2;
E895;228;214;10;3;;1
E896;62;56;6;;;
E897;257;249;7;1;;
E898.0;14;14;;;;
E898.1;234;227;4;2;1;
E899;832;800;24;6;2;
E900.0;1074;1054;14;6;;
E900.1;30;27;1;2;;
E900.9;331;316;12;2;1;
E901.0;211;198;5;4;1;3
E901.1;42;37;3;;2;
E901.8;83;74;6;3;;
E901.9;303;277;22;3;1;
E902.0;20;20;;;;
E902.1;43;43;;;;
E902.2;30;30;;;;
E902.8;33;31;2;;;
E902.9;108;101;4;3;;
E903;38;38;;;;
E904.0;47;41;4;1;1;
E904.1;79;78;;1;;
E904.2;1;1;;;;
E904.3;179;176;1;1;1;
E904.9;6;5;;;1;
E905.0;218;216;1;1;;
E905.1;1515;1498;13;3;;1
E905.2;54;53;;1;;
E905.3;5236;5198;25;10;2;1
E905.4;7;7;;;;
E905.5;659;650;6;2;;1
E905.6;301;298;;3;;
E905.7;576;565;7;3;1;
E905.8;49;49;;;;
E905.9;162;160;2;;;
E906.0;18498;18263;182;37;6;10
E906.1;177;176;1;;;
E906.2;92;92;;;;
E906.3;3387;3349;31;5;2;
E906.4;14058;13898;104;41;7;8
